,Area Type,Area Name,Year,Month,Date,Industry Title,Industry Current Employment,Regional Labor Force,Regional Employment,Regional Unemployment,Regional Unemployment Rate
3722,State,California,2014,January,01/1/2014,Apparel Knitting Mills,1400,18496400,16922600,1573700,8.5
3723,State,California,2014,January,01/1/2014,Other Miscellaneous Durable Goods Mfg.,30600,18496400,16922600,1573700,8.5
3724,State,California,2014,January,01/1/2014,        Non-Durable Goods,463600,18496400,16922600,1573700,8.5
3725,State,California,2014,January,01/1/2014,          Food Manufacturing,147600,18496400,16922600,1573700,8.5
3726,State,California,2014,January,01/1/2014,Dairy Product Manufacturing,17400,18496400,16922600,1573700,8.5
3727,State,California,2014,January,01/1/2014,Government,2392900,18496400,16922600,1573700,8.5
3728,State,California,2014,January,01/1/2014,Department of Defense,58600,18496400,16922600,1573700,8.5
3729,State,California,2014,January,01/1/2014,            State Government Excluding Education,254000,18496400,16922600,1573700,8.5
3730,State,California,2014,January,01/1/2014,            Animal Slaughtering and Processing,22100,18496400,16922600,1573700,8.5
3731,State,California,2014,January,01/1/2014,ResidualTextile Mills,8500,18496400,16922600,1573700,8.5
3732,State,California,2014,January,01/1/2014,Textile Product Mills,8700,18496400,16922600,1573700,8.5
3733,State,California,2014,January,01/1/2014,            Local Government Excluding Educational Services,752900,18496400,16922600,1573700,8.5
3734,State,California,2014,January,01/1/2014,               County Government,326500,18496400,16922600,1573700,8.5
3735,State,California,2014,January,01/1/2014,Apparel Manufacturing,56100,18496400,16922600,1573700,8.5
3736,State,California,2014,January,01/1/2014,Paper Manufacturing,21000,18496400,16922600,1573700,8.5
3737,State,California,2014,January,01/1/2014,            Cut and Sew Apparel Manufacturing,52600,18496400,16922600,1573700,8.5
3738,State,California,2014,January,01/1/2014,Converted Paper Product Mfg.,19600,18496400,16922600,1573700,8.5
3739,State,California,2014,January,01/1/2014,          Printing and Related Support Activities,42000,18496400,16922600,1573700,8.5
3740,State,California,2014,January,01/1/2014,          Petroleum and Coal Products Manufacturing,14500,18496400,16922600,1573700,8.5
3741,State,California,2014,January,01/1/2014,Indian Tribes,59000,18496400,16922600,1573700,8.5
3742,State,California,2014,January,01/1/2014,Local Government,1664400,18496400,16922600,1573700,8.5
3743,State,California,2014,January,01/1/2014,          Federal Government excluding Department of Defense,181900,18496400,16922600,1573700,8.5
3744,State,California,2014,January,01/1/2014,          Total State and Local Government,2152400,18496400,16922600,1573700,8.5
3745,State,California,2014,January,01/1/2014,Chemical Manufacturing,71500,18496400,16922600,1573700,8.5
3746,State,California,2014,January,01/1/2014,               Special Districts plus Tribes,115400,18496400,16922600,1573700,8.5
3747,State,California,2014,January,01/1/2014,Federal Government,240500,18496400,16922600,1573700,8.5
3748,State,California,2014,January,01/1/2014,State Government,488000,18496400,16922600,1573700,8.5
3749,State,California,2014,January,01/1/2014,"            Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",50500,18496400,16922600,1573700,8.5
3750,State,California,2014,January,01/1/2014,Support Activities for Mining,14900,18496400,16922600,1573700,8.5
3751,State,California,2014,January,01/1/2014,Manufacturing,1256600,18496400,16922600,1573700,8.5
3752,State,California,2014,January,01/1/2014,            Radio and Television Broadcasting Stations,13900,18496400,16922600,1573700,8.5
3753,State,California,2014,January,01/1/2014,"     Mining, Logging and Construction",666400,18496400,16922600,1573700,8.5
3754,State,California,2014,January,01/1/2014,L& Subdivision,7700,18496400,16922600,1573700,8.5
3755,State,California,2014,January,01/1/2014,          Other Heavy and Civil Engineering Construction,7100,18496400,16922600,1573700,8.5
3756,State,California,2014,January,01/1/2014,Construction of Buildings,146900,18496400,16922600,1573700,8.5
3757,State,California,2014,January,01/1/2014,Utility System Const.,38900,18496400,16922600,1573700,8.5
3758,State,California,2014,January,01/1/2014,      Mining and Logging,28000,18496400,16922600,1573700,8.5
3759,State,California,2014,January,01/1/2014,Logging,1500,18496400,16922600,1573700,8.5
3760,State,California,2014,January,01/1/2014,Oil & Gas Extraction,6300,18496400,16922600,1573700,8.5
3761,State,California,2014,January,01/1/2014,"Mining, except Oil & Gas",5300,18496400,16922600,1573700,8.5
3762,State,California,2014,January,01/1/2014,               Wired Telecommunications Carriers,57800,18496400,16922600,1573700,8.5
3763,State,California,2014,January,01/1/2014,            Furniture and Home Furnishings Retailers,53500,18496400,16922600,1573700,8.5
3764,State,California,2014,January,01/1/2014,"Management, Scientific and Technical Con",202900,18496400,16922600,1573700,8.5
3765,State,California,2014,January,01/1/2014,Machine Shops & Threaded Product Mfg.,43300,18496400,16922600,1573700,8.5
3766,State,California,2014,January,01/1/2014,Total Private,12836000,18496400,16922600,1573700,8.5
3767,State,California,2014,January,01/1/2014,          Broadcasting and Content Providers,64400,18496400,16922600,1573700,8.5
3768,State,California,2014,January,01/1/2014,Telecommunications,86500,18496400,16922600,1573700,8.5
3769,State,California,2014,January,01/1/2014,"Data Processing, Hosting & Related Services",28200,18496400,16922600,1573700,8.5
3770,State,California,2014,January,01/1/2014,"          Web Search Portals, Libraries, Archives, and Other ",39400,18496400,16922600,1573700,8.5
3771,State,California,2014,January,01/1/2014,          Real Estate and Rental and Leasing,258800,18496400,16922600,1573700,8.5
3772,State,California,2014,January,01/1/2014,      Professional and Business Services,2359100,18496400,16922600,1573700,8.5
3773,State,California,2014,January,01/1/2014,"        Professional, Scientific, and Technical Services",1150800,18496400,16922600,1573700,8.5
3774,State,California,2014,January,01/1/2014,"Accounting, Tax Preparation and Bookkeep",131800,18496400,16922600,1573700,8.5
3775,State,California,2014,January,01/1/2014,"          Architectural, Engineering, and Related Services",161400,18496400,16922600,1573700,8.5
3776,State,California,2014,January,01/1/2014,          Computer Systems Design and Related Services,250500,18496400,16922600,1573700,8.5
3777,State,California,2014,January,01/1/2014,Durable Goods,793000,18496400,16922600,1573700,8.5
3778,State,California,2014,January,01/1/2014,Fabricated Metal Product Mfg,127200,18496400,16922600,1573700,8.5
3779,State,California,2014,January,01/1/2014,Other Wood Product Mfg.,14800,18496400,16922600,1573700,8.5
3780,State,California,2014,January,01/1/2014,Primary Metal Manufacturing,18700,18496400,16922600,1573700,8.5
3781,State,California,2014,January,01/1/2014,"          Highway, Street, and Bridge Construction",20100,18496400,16922600,1573700,8.5
3782,State,California,2014,January,01/1/2014,Building Finishing Contractors,102900,18496400,16922600,1573700,8.5
3783,State,California,2014,January,01/1/2014,Industrial Machinery Manufacturing,14100,18496400,16922600,1573700,8.5
3784,State,California,2014,January,01/1/2014,Commercial and Service Industry Manufact,11700,18496400,16922600,1573700,8.5
3785,State,California,2014,January,01/1/2014,Metalworking Machinery Mfg.,12500,18496400,16922600,1573700,8.5
3786,State,California,2014,January,01/1/2014,        Finance and Insurance,516600,18496400,16922600,1573700,8.5
3787,State,California,2014,January,01/1/2014,Nonresidential Building Construction,58500,18496400,16922600,1573700,8.5
3788,State,California,2014,January,01/1/2014,            Other Specialty Trade Contractors,53700,18496400,16922600,1573700,8.5
3789,State,California,2014,January,01/1/2014,Nonmetallic Mineral Product Mfg.,29700,18496400,16922600,1573700,8.5
3790,State,California,2014,January,01/1/2014,Architectural & Structural Metals Mfg.,28700,18496400,16922600,1573700,8.5
3791,State,California,2014,January,01/1/2014,Machinery Manufacturing,72100,18496400,16922600,1573700,8.5
3792,State,California,2014,January,01/1/2014,      Financial Activities,775400,18496400,16922600,1573700,8.5
3793,State,California,2014,January,01/1/2014,            Depository Credit Intermediation including Monetary Authorities - Central Bank,157700,18496400,16922600,1573700,8.5
3794,State,California,2014,January,01/1/2014,Activities Related to Credit Intermediat,38300,18496400,16922600,1573700,8.5
3795,State,California,2014,January,01/1/2014,Wood Product Manufacturing,21400,18496400,16922600,1573700,8.5
3796,State,California,2014,January,01/1/2014,          Financial Investments and Related Activities including Financial Vehicles,85900,18496400,16922600,1573700,8.5
3797,State,California,2014,January,01/1/2014,Specialty Trade Contractors,417800,18496400,16922600,1573700,8.5
3798,State,California,2014,January,01/1/2014,"            Foundation, Structure, and Building Exterior Contractors",84300,18496400,16922600,1573700,8.5
3799,State,California,2014,January,01/1/2014,Building Equipment Contractors,176900,18496400,16922600,1573700,8.5
3800,State,California,2014,January,01/1/2014,Residential Building Construction,88400,18496400,16922600,1573700,8.5
3801,State,California,2014,January,01/1/2014,          Heavy and Civil Engineering Construction,73800,18496400,16922600,1573700,8.5
3802,State,California,2014,January,01/1/2014,Construction,638500,18496400,16922600,1573700,8.5
3803,State,California,2014,January,01/1/2014,Securities & Commodity Contracts,33800,18496400,16922600,1573700,8.5
3804,State,California,2014,January,01/1/2014,          Insurance Carriers and Related Activities,184100,18496400,16922600,1573700,8.5
3805,State,California,2014,January,01/1/2014,Insurance Carriers,84900,18496400,16922600,1573700,8.5
3806,State,California,2014,January,01/1/2014,Goods Producing,1923000,18496400,16922600,1573700,8.5
3807,State,California,2014,January,01/1/2014,Mining,26500,18496400,16922600,1573700,8.5
3808,State,California,2014,January,01/1/2014,Other Fabricated Metal Product Mfg.,17700,18496400,16922600,1573700,8.5
3809,State,California,2014,January,01/1/2014,ResidualOther General Purpose Machinery,15900,18496400,16922600,1573700,8.5
3810,State,California,2014,January,01/1/2014,Other Financial Investment Activities,52100,18496400,16922600,1573700,8.5
3811,State,California,2014,January,01/1/2014,Natural Gas Distribution,34000,18496400,16922600,1573700,8.5
3812,State,California,2014,January,01/1/2014,General Freight Trucking,70000,18496400,16922600,1573700,8.5
3813,State,California,2014,January,01/1/2014,          Transit and Ground Passenger Transportation,40000,18496400,16922600,1573700,8.5
3814,State,California,2014,January,01/1/2014,Total Nonfarm,15228900,18496400,16922600,1573700,8.5
3815,State,California,2014,January,01/1/2014,"            Warehouse Clubs, Supercenters, and Other General Merchandise Retailers",168000,18496400,16922600,1573700,8.5
3816,State,California,2014,January,01/1/2014,"            Sporting Goods, Hobby, and Musical Instrument Retailers",62400,18496400,16922600,1573700,8.5
3817,State,California,2014,January,01/1/2014,"            Office Supplies, Stationery, and Gift Retailers",36700,18496400,16922600,1573700,8.5
3818,State,California,2014,January,01/1/2014,            Other Miscellaneous Retailers,41700,18496400,16922600,1573700,8.5
3819,State,California,2014,January,01/1/2014,Air Transportation,43800,18496400,16922600,1573700,8.5
3820,State,California,2014,January,01/1/2014,"          Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",173000,18496400,16922600,1573700,8.5
3821,State,California,2014,January,01/1/2014,"        Transportation, Warehousing, and Utilities",509700,18496400,16922600,1573700,8.5
3822,State,California,2014,January,01/1/2014,Utilities,58500,18496400,16922600,1573700,8.5
3823,State,California,2014,January,01/1/2014,"Electric Power Gen, Trans & Distribution",19300,18496400,16922600,1573700,8.5
3824,State,California,2014,January,01/1/2014,Total Farm,346600,18496400,16922600,1573700,8.5
3825,State,California,2014,January,01/1/2014,"            Jewelry, Luggage, and Leather Goods Retailers",16300,18496400,16922600,1573700,8.5
3826,State,California,2014,January,01/1/2014,Social Assistance,644100,18496400,16922600,1573700,8.5
3827,State,California,2014,January,01/1/2014,Vocational Rehabilitation Services,35000,18496400,16922600,1573700,8.5
3828,State,California,2014,January,01/1/2014,"         Arts, Entertainment, and Recreation",257400,18496400,16922600,1573700,8.5
3829,State,California,2014,January,01/1/2014,"Performing Arts, Spectator Sports",61600,18496400,16922600,1573700,8.5
3830,State,California,2014,January,01/1/2014,"Museums, Historical Sites, and Similar I",16400,18496400,16922600,1573700,8.5
3831,State,California,2014,January,01/1/2014,Amusement Parks and Arcades,37600,18496400,16922600,1573700,8.5
3832,State,California,2014,January,01/1/2014,Gambling Industries,14200,18496400,16922600,1573700,8.5
3833,State,California,2014,January,01/1/2014,        Accommodation and Food Services,1419600,18496400,16922600,1573700,8.5
3834,State,California,2014,January,01/1/2014,"          Amusement, Gambling, and Recreation Industries",179400,18496400,16922600,1573700,8.5
3835,State,California,2014,January,01/1/2014,Freight transp. Arrangement,27400,18496400,16922600,1573700,8.5
3836,State,California,2014,January,01/1/2014,            Couriers and Messengers,67500,18496400,16922600,1573700,8.5
3837,State,California,2014,January,01/1/2014,Support Activities for Transportation,88700,18496400,16922600,1573700,8.5
3838,State,California,2014,January,01/1/2014,          Personal and Laundry Services,155900,18496400,16922600,1573700,8.5
3839,State,California,2014,January,01/1/2014,"          Religious, Grantmaking, Civic, Professional, and Similar Organizations",218800,18496400,16922600,1573700,8.5
3840,State,California,2014,January,01/1/2014,Grantmaking & Giving Serv.,22300,18496400,16922600,1573700,8.5
3841,State,California,2014,January,01/1/2014,Auto Repair & Maintenance,108100,18496400,16922600,1573700,8.5
3842,State,California,2014,January,01/1/2014,Other Personal Services,42900,18496400,16922600,1573700,8.5
3843,State,California,2014,January,01/1/2014,          Gasoline Stations and Fuel Dealers,56200,18496400,16922600,1573700,8.5
3844,State,California,2014,January,01/1/2014,            Clothing and Clothing Accessories Retailers,159300,18496400,16922600,1573700,8.5
3845,State,California,2014,January,01/1/2014,          Transportation and Warehousing,451200,18496400,16922600,1573700,8.5
3846,State,California,2014,January,01/1/2014,            Software Publishers,58400,18496400,16922600,1573700,8.5
3847,State,California,2014,January,01/1/2014,Individual and Family Services,526200,18496400,16922600,1573700,8.5
3848,State,California,2014,January,01/1/2014,            Warehousing and Storage,78900,18496400,16922600,1573700,8.5
3849,State,California,2014,January,01/1/2014,Motion Picture and Sound Recording,145800,18496400,16922600,1573700,8.5
3850,State,California,2014,January,01/1/2014,Motion Picture & Video Production,113100,18496400,16922600,1573700,8.5
3851,State,California,2014,January,01/1/2014,          Publishing Industries,94900,18496400,16922600,1573700,8.5
3852,State,California,2014,January,01/1/2014,      Leisure and Hospitality,1677000,18496400,16922600,1573700,8.5
3853,State,California,2014,January,01/1/2014,"Community Food & Housing, & Emergency &",17300,18496400,16922600,1573700,8.5
3854,State,California,2014,January,01/1/2014,Spectator Sports,11800,18496400,16922600,1573700,8.5
3855,State,California,2014,January,01/1/2014,Other Amusement and Recreation,127600,18496400,16922600,1573700,8.5
3856,State,California,2014,January,01/1/2014,Drinking Places (Alcoholic Beverages),27900,18496400,16922600,1573700,8.5
3857,State,California,2014,January,01/1/2014,Other Services,519900,18496400,16922600,1573700,8.5
3858,State,California,2014,January,01/1/2014,Personal & Household Goods Repair,8000,18496400,16922600,1573700,8.5
3859,State,California,2014,January,01/1/2014,Total Wage and Salary,15575500,18496400,16922600,1573700,8.5
3860,State,California,2014,January,01/1/2014,            Department Stores,131900,18496400,16922600,1573700,8.5
3861,State,California,2014,January,01/1/2014,          Health and Personal Care Retailers,111000,18496400,16922600,1573700,8.5
3862,State,California,2014,January,01/1/2014,Support Activities for Water transp.,20200,18496400,16922600,1573700,8.5
3863,State,California,2014,January,01/1/2014,            Auto Equipment Rental and Leasing,19700,18496400,16922600,1573700,8.5
3864,State,California,2014,January,01/1/2014,Consumer Goods Rental,16000,18496400,16922600,1573700,8.5
3865,State,California,2014,January,01/1/2014,Legal Services,131700,18496400,16922600,1573700,8.5
3866,State,California,2014,January,01/1/2014,"          Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",201200,18496400,16922600,1573700,8.5
3867,State,California,2014,January,01/1/2014,            Book Retailers and News Dealers,11600,18496400,16922600,1573700,8.5
3868,State,California,2014,January,01/1/2014,            Used Merchandise Retailers,18200,18496400,16922600,1573700,8.5
3869,State,California,2014,January,01/1/2014,Truck Transportation,108200,18496400,16922600,1573700,8.5
3870,State,California,2014,January,01/1/2014,Specialized Freight Trucking,38200,18496400,16922600,1573700,8.5
3871,State,California,2014,January,01/1/2014,"            Agencies, Broker and Other Insurance Related Activities",99200,18496400,16922600,1573700,8.5
3872,State,California,2014,January,01/1/2014,            Offices of Real Estate Agents and Brokers,44800,18496400,16922600,1573700,8.5
3873,State,California,2014,January,01/1/2014,Activities Related to Real Estate,94900,18496400,16922600,1573700,8.5
3874,State,California,2014,January,01/1/2014,Motion Picture & Video Industries,142200,18496400,16922600,1573700,8.5
3875,State,California,2014,January,01/1/2014,Scheduled Air transp.,40400,18496400,16922600,1573700,8.5
3876,State,California,2014,January,01/1/2014,      Information,459200,18496400,16922600,1573700,8.5
3877,State,California,2014,January,01/1/2014,Special Food Services,51900,18496400,16922600,1573700,8.5
3878,State,California,2014,January,01/1/2014,Other Residential Care Facilities,14200,18496400,16922600,1573700,8.5
3879,State,California,2014,January,01/1/2014,Child Day Care Services,65600,18496400,16922600,1573700,8.5
3880,State,California,2014,January,01/1/2014,Performing Arts Companies,13000,18496400,16922600,1573700,8.5
3881,State,California,2014,January,01/1/2014,"Independent Artists, Writers, and Perfor",15300,18496400,16922600,1573700,8.5
3882,State,California,2014,January,01/1/2014,Support Activities for Road transp.,14000,18496400,16922600,1573700,8.5
3883,State,California,2014,January,01/1/2014,"            Newspaper, Periodical, Book, and Directory Publishers",36500,18496400,16922600,1573700,8.5
3884,State,California,2014,January,01/1/2014,Commercial & Industrial Machinery,18100,18496400,16922600,1573700,8.5
3885,State,California,2014,January,01/1/2014,Drycleaning & Laundry Serv.,34000,18496400,16922600,1573700,8.5
3886,State,California,2014,January,01/1/2014,Personal Care Serv.,68900,18496400,16922600,1573700,8.5
3887,State,California,2014,January,01/1/2014,Religious Organizations,94200,18496400,16922600,1573700,8.5
3888,State,California,2014,January,01/1/2014,Accommodation,205000,18496400,16922600,1573700,8.5
3889,State,California,2014,January,01/1/2014,          Food Services and Drinking Places,1214600,18496400,16922600,1573700,8.5
3890,State,California,2014,January,01/1/2014,              Limited-Service Restaurants and Other Eating Places,548900,18496400,16922600,1573700,8.5
3891,State,California,2014,January,01/1/2014,          Repair and Maintenance,145200,18496400,16922600,1573700,8.5
3892,State,California,2014,January,01/1/2014,Full-Service Restaurants,585900,18496400,16922600,1573700,8.5
3893,State,California,2014,January,01/1/2014,Specialized Design Services,21500,18496400,16922600,1573700,8.5
3894,State,California,2014,January,01/1/2014,Social Advocacy Organizations,23100,18496400,16922600,1573700,8.5
3895,State,California,2014,January,01/1/2014,          Rental and Leasing Services,56400,18496400,16922600,1573700,8.5
3896,State,California,2014,January,01/1/2014,Lessors of Real Estate,60100,18496400,16922600,1573700,8.5
3897,State,California,2014,January,01/1/2014,            Furniture Retailers,20300,18496400,16922600,1573700,8.5
3898,State,California,2014,January,01/1/2014,Lumber & Other Const. Mat Merch whole,18900,18496400,16922600,1573700,8.5
3899,State,California,2014,January,01/1/2014,Electrical and Electronic Goods Merchant,48500,18496400,16922600,1573700,8.5
3900,State,California,2014,January,01/1/2014,Building Material and Supplies Dealers,106600,18496400,16922600,1573700,8.5
3901,State,California,2014,January,01/1/2014,Grocery Stores,302900,18496400,16922600,1573700,8.5
3902,State,California,2014,January,01/1/2014,Specialty Food Stores,29300,18496400,16922600,1573700,8.5
3903,State,California,2014,January,01/1/2014,            Home Furnishings Retailers,33200,18496400,16922600,1573700,8.5
3904,State,California,2014,January,01/1/2014,          General Merchandise Retailers,299900,18496400,16922600,1573700,8.5
3905,State,California,2014,January,01/1/2014,        Management of Companies and Enterprises,236900,18496400,16922600,1573700,8.5
3906,State,California,2014,January,01/1/2014,          Administrative and Support Services,925900,18496400,16922600,1573700,8.5
3907,State,California,2014,January,01/1/2014,Employment Services,398900,18496400,16922600,1573700,8.5
3908,State,California,2014,January,01/1/2014,Furniture & Home Furnish Merch whole,19900,18496400,16922600,1573700,8.5
3909,State,California,2014,January,01/1/2014,          Plastics and Rubber Products Manufacturing,43400,18496400,16922600,1573700,8.5
3910,State,California,2014,January,01/1/2014,     Service-Providing,13305900,18496400,16922600,1573700,8.5
3911,State,California,2014,January,01/1/2014,Motor Vehicle and Motor Vehicle Parts Me,37300,18496400,16922600,1573700,8.5
3912,State,California,2014,January,01/1/2014,Hospitals,374700,18496400,16922600,1573700,8.5
3913,State,California,2014,January,01/1/2014,Offices of Physicians,213600,18496400,16922600,1573700,8.5
3914,State,California,2014,January,01/1/2014,          Nursing and Residential Care Facilities,274300,18496400,16922600,1573700,8.5
3915,State,California,2014,January,01/1/2014,Psychiatric & Substance Abuse Hosp,6900,18496400,16922600,1573700,8.5
3916,State,California,2014,January,01/1/2014,Comm Care Facilities for the Elderly,82300,18496400,16922600,1573700,8.5
3917,State,California,2014,January,01/1/2014,"Soap, Cleaning Compound & Toiletry Mfg.",11200,18496400,16922600,1573700,8.5
3918,State,California,2014,January,01/1/2014,"     Trade, Transportation, and Utilities",2789200,18496400,16922600,1573700,8.5
3919,State,California,2014,January,01/1/2014,"Merchant Wholesalers, Durable Goods",346000,18496400,16922600,1573700,8.5
3920,State,California,2014,January,01/1/2014,Paper & Paper Products Merchant whole,15100,18496400,16922600,1573700,8.5
3921,State,California,2014,January,01/1/2014,            Misc Nondurable Goods Merchant Wholesalers,49900,18496400,16922600,1573700,8.5
3922,State,California,2014,January,01/1/2014,Automobile Dealers,115900,18496400,16922600,1573700,8.5
3923,State,California,2014,January,01/1/2014,Other Motor Vehicle Dealers,11400,18496400,16922600,1573700,8.5
3924,State,California,2014,January,01/1/2014,"          Furniture, Home Furnishings, Electronics, and Appliance Retailers",118300,18496400,16922600,1573700,8.5
3925,State,California,2014,January,01/1/2014,        Administrative and Support and Waste Management and Remediation Services,971400,18496400,16922600,1573700,8.5
3926,State,California,2014,January,01/1/2014,Office Administrative Services,73700,18496400,16922600,1573700,8.5
3927,State,California,2014,January,01/1/2014,Facilities Support Serv.,10300,18496400,16922600,1573700,8.5
3928,State,California,2014,January,01/1/2014,Business Support Services,57700,18496400,16922600,1573700,8.5
3929,State,California,2014,January,01/1/2014,Private Service Providing,10913000,18496400,16922600,1573700,8.5
3930,State,California,2014,January,01/1/2014,          Motor Vehicle and Parts Dealers,179100,18496400,16922600,1573700,8.5
3931,State,California,2014,January,01/1/2014,          Building Material and Garden Equipment and Supplies Dealers,117300,18496400,16922600,1573700,8.5
3932,State,California,2014,January,01/1/2014,"Merchant Wholesalers, Nondurable Goods",272700,18496400,16922600,1573700,8.5
3933,State,California,2014,January,01/1/2014,Grocery & Related Products Merchant whol,101500,18496400,16922600,1573700,8.5
3934,State,California,2014,January,01/1/2014,Chemical & Allied Products Merchant whol,13100,18496400,16922600,1573700,8.5
3935,State,California,2014,January,01/1/2014,Retail Trade,1603500,18496400,16922600,1573700,8.5
3936,State,California,2014,January,01/1/2014,Professional and Commercial Equipment Me,86700,18496400,16922600,1573700,8.5
3937,State,California,2014,January,01/1/2014,"Hdwr, Plumb & Heating Merchant whole",24200,18496400,16922600,1573700,8.5
3938,State,California,2014,January,01/1/2014,            Services to Buildings and Dwellings,206900,18496400,16922600,1573700,8.5
3939,State,California,2014,January,01/1/2014,      Private Education and Health Services,2333200,18496400,16922600,1573700,8.5
3940,State,California,2014,January,01/1/2014,Junior Colleges,5700,18496400,16922600,1573700,8.5
3941,State,California,2014,January,01/1/2014,Offices of Dentists,118100,18496400,16922600,1573700,8.5
3942,State,California,2014,January,01/1/2014,Outpatient Care Centers,171000,18496400,16922600,1573700,8.5
3943,State,California,2014,January,01/1/2014,Home Health Care Serv.,80500,18496400,16922600,1573700,8.5
3944,State,California,2014,January,01/1/2014,General Medical & Surgical Hosp.s,351800,18496400,16922600,1573700,8.5
3945,State,California,2014,January,01/1/2014,Nursing Care Facilities,131100,18496400,16922600,1573700,8.5
3946,State,California,2014,January,01/1/2014,"Specialty (not Psych, Sub Abuse) Hosp.",16000,18496400,16922600,1573700,8.5
3947,State,California,2014,January,01/1/2014,Wholesale Trade,676000,18496400,16922600,1573700,8.5
3948,State,California,2014,January,01/1/2014,"Machinery, Equipment and Supplies Mercha",53200,18496400,16922600,1573700,8.5
3949,State,California,2014,January,01/1/2014,          Food and Beverage Retailers,347500,18496400,16922600,1573700,8.5
3950,State,California,2014,January,01/1/2014,"Beer, Wine, & Liquor Stores",15300,18496400,16922600,1573700,8.5
3951,State,California,2014,January,01/1/2014,            Scientific Research and Development Services,122600,18496400,16922600,1573700,8.5
3952,State,California,2014,January,01/1/2014,"Other Professional, Scientific and Techn",66200,18496400,16922600,1573700,8.5
3953,State,California,2014,January,01/1/2014,Travel Arrangement and Reservation Servi,21500,18496400,16922600,1573700,8.5
3954,State,California,2014,January,01/1/2014,Wholesale Electronic Markets and Agents,57300,18496400,16922600,1573700,8.5
