,Area Name,Regional Unemployment,Latitude,Longitude
65,Santa Clara County,41060.18518518518,37.2938907,-121.7195459
66,Santa Cruz County,9220.325203252032,37.0453995,-121.9579573
67,Santa Cruz-Watsonville MSA,9220.325203252032,36.910231,-121.7568946
68,Santa Maria-Santa Barbara MSA,10997.560975609756,34.4208305,-119.6981901
69,Santa Rosa MSA,10965.040650406505,38.440429,-122.7140548
70,Shasta County,4856.910569105691,40.7908864,-121.8474493
71,Sierra County,90.89430894308943,39.5532845,-120.2512728
72,Siskiyou County,1392.1138211382113,41.7743261,-122.5770126
73,Solano County,11813.008130081302,38.3104969,-121.9017954
74,Sonoma County,10965.040650406505,38.5779555,-122.9888319
75,Stanislaus County,19540.650406504064,37.5090711,-120.9876321
76,Stockton-Lodi MSA,25662.988011066707,37.9921785,-121.3084088
77,Sutter County,4204.62962962963,39.0219764,-121.6739371
78,Tehama County,1773.821138211382,40.0982197,-122.174605
79,Trinity County,321.4634146341463,40.6329485,-123.0622553
80,Tulare County,22178.861788617887,36.1341739,-118.8596804
81,Tuolumne County,1333.5772357723577,38.029655,-119.9740534
82,Vallejo-Fairfield MSA,11813.008130081302,38.1040864,-122.2566367
83,Ventura County,21981.274900398406,34.3704884,-119.1390642
84,Visalia-Porterville MSA,22178.861788617887,36.3301329,-119.2966367
85,Yolo County,6034.259259259259,38.7646021,-121.9017954
86,Yuba City MSA,6556.09756097561,39.1404477,-121.6169108
87,Yuba County,2409.259259259259,39.2547027,-121.3998995
